idx_1,idx_2,ref_clus,ref_frac,max_sim,max_clus,max_frac,sim_mn,sim_sd,percentile_max_sim
0,1,"Early Bird, Stimulated By Constraints, Risk Averse, Solo Creator, Novelty Seeker",0.000631486668202046,0.4532323323042858,"Novelty Seeker, Night Owl, Monotasker, Externally Motivated, Solo Creator",0.04941940372800012,0.28909999731484787,0.09005053693510114,0.9017957351290684
0,1,"Fast Paced, Rational, Kinetic, Silence, Private",0.00021544839268069805,0.2972114702938103,"Tenacious, Outwardly Inspired, Silence, Love Distractions, Fast Paced",0.00031202870664101095,0.1842696227357119,0.06852912957945866,0.6919191919191919
0,1,"Generalist, Hate Distractions, Urban, Risk Averse, Multitasker",0.00020801913776067398,1.0,"Generalist, Hate Distractions, Urban, Risk Averse, Multitasker",0.00020801913776067398,0.20883081729483213,0.15107152524671366,0.9960718294051627
0,1,"Generalist, Internally Motivated, Hate Distractions, Tenacious, Risk Averse",0.0002823116869609147,0.37180849824929957,"Generalist, Hate Distractions, Urban, Risk Averse, Multitasker",0.00020801913776067398,0.20493475871228856,0.06192672581249281,0.8411896745230079
0,1,"Internally Motivated, Night Owl, Novelty Seeker, Monotasker, Stifled By Constraints",0.0002451654123607943,0.27525752986076835,"Monotasker, Night Owl, Solo Creator, NonKinetic, Self-Critical",0.0002897409418809388,0.1824197058273043,0.058662126471337984,0.6251402918069585
0,1,"Internally Motivated, Novelty Seeker, Monotasker, Let It Happen, Perfectionist",0.0034471742828911687,0.6003631683011963,"Risk Friendly, Stifled By Constraints, Internally Motivated, Novelty Seeker, Let It Happen",0.1369137389211236,0.3475093189739178,0.13730792411517426,0.9567901234567902
0,1,"Intuitive, Noise/Music, Inwardly Inspired, Urban, Night Owl",0.0008023595313625996,0.4474616322799517,"Night Owl, Pragmastist, Noise/Music, Outwardly Inspired, Controlled Chaos",0.006032554995059545,0.3002092265569134,0.09676233888030726,0.8984287317620651
0,1,"Inwardly Inspired, Kinetic, Multitasker, Night Owl, Novelty Seeker",0.00018573137300060177,0.30667556096392934,"Make It Happen, Routine Seeker, Monotasker, Night Owl, Urban",0.00020801913776067398,0.19383248625937163,0.04771075807539213,0.7199775533108866
0,1,"Inwardly Inspired, Public, Stifled By Constraints, Risk Friendly, Novelty Seeker",0.0003417457263211073,0.35854286614375674,"Tenacious, Collaborator, Fast Paced, Multitasker, Love Distractions",0.000735496237082383,0.22113343384607687,0.06980662562088412,0.8237934904601572
0,1,"Kinetic, Self-Critical, Monotasker, Night Owl, Collaborator",0.00036403349108117945,0.35097240230570825,"Collaborator, Routine Seeker, Self-Critical, Generalist, Kinetic",0.0008840813354828645,0.21904086083429086,0.06334778175425318,0.8097643097643098
